disc_number;duration_ms;explicit;track_number;track_popularity;track_id;track_name;audio_features_danceability;audio_features_energy;audio_features_key;audio_features_loudness;audio_features_mode;audio_features_speechiness;audio_features_acousticness;audio_features_instrumentalness;audio_features_liveness;audio_features_valence;audio_features_tempo;audio_features_id;audio_features_time_signature;album_id;album_name;album_release_date;album_total_tracks
1;212600;FALSO;1;77;4WUepByoeqcedHoYhSNHRt;Welcome To New York (Taylor's Version);757;61;70;-484;1;327;942;0.00366;367;685;116998;4WUepByoeqcedHoYhSNHRt;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;231833;FALSO;2;78;0108kcWLnn2HlH2kedi1gn;Blank Space (Taylor's Version);733;733;0;-5376;1;67;50;0;168;701;96057;0108kcWLnn2HlH2kedi1gn;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;231000;FALSO;3;79;3Vpk1hfMAQme8VJ0SNRSkd;Style (Taylor's Version);511;822;110;-4785;0;397;421;197;899;305;94868;3Vpk1hfMAQme8VJ0SNRSkd;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;235800;FALSO;4;78;1OcSfkeCg9hRC2sFKB4IMJ;Out Of The Woods (Taylor's Version);545;885;0;-5968;1;447;-537;0.00559;385;206;92021;1OcSfkeCg9hRC2sFKB4IMJ;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;193289;FALSO;5;77;2k0ZEeAqzvYMcx9Qt5aClQ;All You Had To Do Was Stay (Taylor's Version);588;721;0;-5579;1;317;656;0;131;52;96997;2k0ZEeAqzvYMcx9Qt5aClQ;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;219209;FALSO;6;76;50yNTF0Od55qnHLxYsA5Pw;Shake It Off (Taylor's Version);636;808;70;-5693;1;729;121;0.00218;359;917;160058;50yNTF0Od55qnHLxYsA5Pw;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;207650;FALSO;7;76;3FxJDucHWdw6caWTKO5b23;I Wish You Would (Taylor's Version);67;858;0;-6528;1;439;-354;0.00125;687;539;118009;3FxJDucHWdw6caWTKO5b23;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;211103;FALSO;8;75;7oZONwFiFIErZcXAtTu7FY;Bad Blood (Taylor's Version);618;683;70;-6438;1;194;362;0;305;363;169971;7oZONwFiFIErZcXAtTu7FY;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;220433;FALSO;9;76;27exgla7YBw9DUNNcTIpjy;Wildest Dreams (Taylor's Version);589;674;80;-748;1;656;436;0.00718;112;514;139985;27exgla7YBw9DUNNcTIpjy;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;247533;FALSO;10;76;733OhaXQIHY7BKtY3vnSkn;How You Get The Girl (Taylor's Version);758;691;50;-5798;1;515;196;0.00109;939;538;119997;733OhaXQIHY7BKtY3vnSkn;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;250100;FALSO;11;75;4WBEj8TeGtRPNJdOmT3WJW;This Love (Taylor’s Version);471;509;10;-8796;0;355;316;0;673;567;144071;4WBEj8TeGtRPNJdOmT3WJW;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;195700;FALSO;12;76;1ULabO0PEsdJekqVH6G10G;I Know Places (Taylor's Version);582;788;0;-5358;1;445;999;0;115;652;160027;1ULabO0PEsdJekqVH6G10G;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;271000;FALSO;13;76;0lKUBmEyQfzsQHozyeXzES;Clean (Taylor's Version);772;391;40;-8892;1;293;25;0.00292;981;258;103955;0lKUBmEyQfzsQHozyeXzES;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;245566;FALSO;14;76;6HRsJu8vcnzYDN4t0570FY;Wonderland (Taylor's Version);464;705;30;-597;1;434;976;0.00261;209;385;183892;6HRsJu8vcnzYDN4t0570FY;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;267389;FALSO;15;76;0TyGh27YQ5LknmiDhCzJiT;You Are In Love (Taylor's Version);363;498;90;-9473;1;755;61;0.000391;112;477;8468;0TyGh27YQ5LknmiDhCzJiT;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;230177;FALSO;16;77;5M787RexsAiVYjQusM98CV;New Romantics (Taylor's Version);649;846;50;-5958;1;602;675;0.000463;824;698;121978;5M787RexsAiVYjQusM98CV;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
"1,180381,False,17,81,0CD7DzeCsuPJygddqlUVYa,""""""Slut!"""" (Taylor's Version) (From The Vault)"",0.591,0.412,2.0,-13.27,1,0.0863,0.309,0.000199,0.0608,0.328,155.875,0CD7DzeCsuPJygddqlUVYa,4.0,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22";;;;;;;;;;;;;;;;;;;;;;;
1;279833;FALSO;18;81;3CCRVu4F91Qp2mnGjmWBrf;Say Don't Go (Taylor's Version) (From The Vault);633;551;40;-8297;1;341;66;0.000994;127;164;10995;3CCRVu4F91Qp2mnGjmWBrf;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;146436;FALSO;19;82;5QUIK7ZtziW8kGWo8RqopF;Now That We Don't Talk (Taylor's Version) (From The Vault);8;501;0;-9332;1;34;16;0.00714;874;831;110013;5QUIK7ZtziW8kGWo8RqopF;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;171818;FALSO;20;79;6M9ppdfFjR1AbpUl3Y8DcV;Suburban Legends (Taylor's Version) (From The Vault);701;625;0;-8804;1;36;207;0;105;323;118036;6M9ppdfFjR1AbpUl3Y8DcV;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;229477;FALSO;21;84;6IG3sQ8s9nfk6TUlVzRhbN;Is It Over Now? (Taylor's Version) (From The Vault);595;656;0;-7343;1;37;41;0;122;191;99994;6IG3sQ8s9nfk6TUlVzRhbN;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;199773;FALSO;22;82;6qAcApH8obo8eqatCKUHd9;Bad Blood (feat. Kendrick Lamar) (Taylor's Version);602;648;20;-6905;1;103;104;0;217;174;170091;6qAcApH8obo8eqatCKUHd9;40;1o59UpKw81iHR0HPiSkJR0;1989 (Taylor's Version) [Deluxe];27/10/2023;22
1;212600;FALSO;1;84;1hR8BSuEqPCCZfv93zzzz9;Welcome To New York (Taylor's Version);761;607;70;-483;1;312;961;0.00224;367;674;11698;1hR8BSuEqPCCZfv93zzzz9;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
1;231833;FALSO;2;87;45wMBGri1PORPjM9PwFfrS;Blank Space (Taylor's Version);737;725;0;-5417;1;641;976;0;174;755;96012;45wMBGri1PORPjM9PwFfrS;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
1;231000;FALSO;3;88;1hjRhYpWyqDpPahmSlUTlc;Style (Taylor's Version);575;824;20;-4823;1;38;418;214;901;292;94971;1hjRhYpWyqDpPahmSlUTlc;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
1;235800;FALSO;4;85;045ZeOHPIzhxxsm8bq5kyE;Out Of The Woods (Taylor's Version);547;885;0;-5961;1;418;512;0.00937;39;192;91992;045ZeOHPIzhxxsm8bq5kyE;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
1;193289;FALSO;5;83;6GXgd1BPD9bUpqw5AntGV5;All You Had To Do Was Stay (Taylor's Version);586;72;0;-5556;1;35;718;0;949;481;97057;6GXgd1BPD9bUpqw5AntGV5;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
1;219209;FALSO;6;83;3pv7Q5v2dpdefwdWIvE7yH;Shake It Off (Taylor's Version);632;807;70;-5676;1;738;103;0.00127;29;921;160055;3pv7Q5v2dpdefwdWIvE7yH;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
1;207650;FALSO;7;82;43y1WpBdnEy5TR9aZoSQL9;I Wish You Would (Taylor's Version);669;851;0;-6526;1;432;357;0.00104;676;541;118026;43y1WpBdnEy5TR9aZoSQL9;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
1;211103;FALSO;8;81;64FzgoLZ3oXu2SriZblHic;Bad Blood (Taylor's Version);619;686;70;-6369;1;164;385;0;307;364;169943;64FzgoLZ3oXu2SriZblHic;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
1;220433;FALSO;9;84;1K39ty6o1sHwwlZwO6a7wK;Wildest Dreams (Taylor's Version);581;672;80;-7415;1;739;411;0.00935;118;514;140061;1K39ty6o1sHwwlZwO6a7wK;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
1;247533;FALSO;10;80;75W3SngKzTuoQ94uLf3y82;How You Get The Girl (Taylor's Version);754;682;50;-5789;1;565;209;0.000988;941;547;120027;75W3SngKzTuoQ94uLf3y82;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
1;250100;FALSO;11;80;5QVVjX0ZItqlVpEuVCM9Yg;This Love (Taylor’s Version);474;511;10;-8766;0;339;299;0;673;586;144022;5QVVjX0ZItqlVpEuVCM9Yg;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
1;195700;FALSO;12;80;2f0GI2ZLUtbGqFx8t2Gk6A;I Know Places (Taylor's Version);575;803;0;-5393;1;465;87;0;971;68;160039;2f0GI2ZLUtbGqFx8t2Gk6A;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
1;271000;FALSO;13;83;2ByBBvpR9b7IynvRmnG7kG;Clean (Taylor's Version);771;386;40;-8917;1;297;276;0.00201;121;239;10396;2ByBBvpR9b7IynvRmnG7kG;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
1;245566;FALSO;14;80;2ve0kuaWUCt4Zx8x4bf1MR;Wonderland (Taylor's Version);462;708;30;-5971;1;555;933;0.00188;198;337;183811;2ve0kuaWUCt4Zx8x4bf1MR;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
1;267389;FALSO;15;80;4UwqOWDpdeIDVQDuKT6iza;You Are In Love (Taylor's Version);537;495;90;-9416;1;573;609;0.000249;112;492;84948;4UwqOWDpdeIDVQDuKT6iza;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
1;230177;FALSO;16;84;2vPMoMDXxu9uX1igWZmXSG;New Romantics (Taylor's Version);651;855;50;-5959;1;538;68;0.000981;759;698;12198;2vPMoMDXxu9uX1igWZmXSG;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
"1,180381,False,17,90,71BqAINEnezjQfxE4VuJfq,""""""Slut!"""" (Taylor's Version) (From The Vault)"",0.629,0.413,7.0,-13.178,1,0.055,0.345,7.62e-05,0.0603,0.306,77.983,71BqAINEnezjQfxE4VuJfq,4.0,64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21";;;;;;;;;;;;;;;;;;;;;;;
1;279833;FALSO;18;88;4NioO5R9sHEZh4cGzMHyNt;Say Don't Go (Taylor's Version) (From The Vault);626;547;40;-8285;1;342;656;0.00167;149;192;109946;4NioO5R9sHEZh4cGzMHyNt;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
1;146436;FALSO;19;91;5KD6AEm19QnMbfWpfoOHMl;Now That We Don't Talk (Taylor's Version) (From The Vault);793;512;0;-9319;1;338;186;0.00381;889;662;109994;5KD6AEm19QnMbfWpfoOHMl;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
1;171818;FALSO;20;84;6T0sEnqjmHISIKwFETeeiP;Suburban Legends (Taylor's Version) (From The Vault);699;621;0;-8739;1;369;198;0;104;344;118048;6T0sEnqjmHISIKwFETeeiP;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
1;229477;FALSO;21;94;1Iq8oo9XkmmvCQiGOfORiz;Is It Over Now? (Taylor's Version) (From The Vault);596;658;0;-7346;1;36;504;0;127;176;100012;1Iq8oo9XkmmvCQiGOfORiz;40;64LU4c1nfjz1t4VnGhagcg;1989 (Taylor's Version);26/10/2023;21
