danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
0.757,0.61,7,-4.84,1,0.0327,0.00942,3.66e-05,0.367,0.685,116.998,4WUepByoeqcedHoYhSNHRt,4
0.733,0.733,0,-5.376,1,0.067,5.0,0.0,0.168,0.701,96.057,0108kcWLnn2HlH2kedi1gn,4
0.511,0.822,11,-4.785,0,0.0397,0.000421,0.0197,0.0899,0.305,94.868,3Vpk1hfMAQme8VJ0SNRSkd,4
0.545,0.885,0,-5.968,1,0.0447,-0.000537,5.59e-05,0.385,0.206,92.021,1OcSfkeCg9hRC2sFKB4IMJ,4
0.588,0.721,0,-5.579,1,0.0317,0.000656,0.0,0.131,0.52,96.997,2k0ZEeAqzvYMcx9Qt5aClQ,4
0.636,0.808,7,-5.693,1,0.0729,0.0121,2.18e-05,0.359,0.917,160.058,50yNTF0Od55qnHLxYsA5Pw,4
0.67,0.858,0,-6.528,1,0.0439,-0.00354,1.25e-05,0.0687,0.539,118.009,3FxJDucHWdw6caWTKO5b23,4
0.618,0.683,7,-6.438,1,0.194,0.0362,0.0,0.305,0.363,169.971,7oZONwFiFIErZcXAtTu7FY,4
0.589,0.674,8,-7.48,1,0.0656,0.0436,7.18e-05,0.112,0.514,139.985,27exgla7YBw9DUNNcTIpjy,4
0.758,0.691,5,-5.798,1,0.0515,0.00196,1.09e-05,0.0939,0.538,119.997,733OhaXQIHY7BKtY3vnSkn,4
0.471,0.509,1,-8.796,0,0.0355,0.316,0.0,0.0673,0.0567,144.071,4WBEj8TeGtRPNJdOmT3WJW,4
0.582,0.788,0,-5.358,1,0.0445,0.0999,0.0,0.115,0.652,160.027,1ULabO0PEsdJekqVH6G10G,4
0.772,0.391,4,-8.892,1,0.0293,0.25,2.92e-05,0.0981,0.258,103.955,0lKUBmEyQfzsQHozyeXzES,4
0.464,0.705,3,-5.97,1,0.0434,0.00976,2.61e-05,0.209,0.385,183.892,6HRsJu8vcnzYDN4t0570FY,4
0.363,0.498,9,-9.473,1,0.0755,0.61,3.91e-06,0.112,0.477,84.68,0TyGh27YQ5LknmiDhCzJiT,4
0.649,0.846,5,-5.958,1,0.0602,0.00675,4.63e-06,0.0824,0.698,121.978,5M787RexsAiVYjQusM98CV,4
0.591,0.412,2,-13.27,1,0.0863,0.309,0.000199,0.0608,0.328,155.875,0CD7DzeCsuPJygddqlUVYa,4
0.633,0.551,4,-8.297,1,0.0341,0.066,9.94e-06,0.127,0.164,109.95,3CCRVu4F91Qp2mnGjmWBrf,4
0.8,0.501,0,-9.332,1,0.034,0.16,7.14e-05,0.0874,0.0831,110.013,5QUIK7ZtziW8kGWo8RqopF,4
0.701,0.625,0,-8.804,1,0.036,0.207,0.0,0.105,0.323,118.036,6M9ppdfFjR1AbpUl3Y8DcV,4
0.595,0.656,0,-7.343,1,0.037,0.041,0.0,0.122,0.191,99.994,6IG3sQ8s9nfk6TUlVzRhbN,4
0.602,0.648,2,-6.905,1,0.103,0.0104,0.0,0.217,0.174,170.091,6qAcApH8obo8eqatCKUHd9,4
